Rc.age Precision Cal.age
 111	10	 110
 140	18	 140
 214	18	 160
 211	18	 180
 176	16	 200
 117	16	 220
  89	12	 240
 102	17	 260
 245	16	 280
 280	12	 300
 367	17	 320
 374	16	 340
 357	14	 360
 379	16	 380
 323	11	 400
 306	10	 420
 367	09	 440
 343	17	 460
 403	18	 480
 411	10	 490
 469	17	 500
 511	19	 520
 525	14	 540
 617	13	 560
 687	14	 580
 650	16	 600
 589	14	 620
 603	14	 640
 720	13	 660
 792	10	 690
 824	10	 720
 874	18	 735
 841	18	 755
 886	09	 780	
 946	09	 800
 910	12	 820
 936	12	 840
 929	11	 860
 904	10	 880
 920	12	 900
 981	12	 920
1051	11	 940
1067	10	 960
1090	10	 980
1135	14	 995
1124	16	1010
1132	14	1030.
1119	14	1050
1212	14	1070
1196	17	1090
1225	17	1100
1206	17	1120
1238	16	1140
1254	16	1160
1261	16	1180
1292	16	1200
1260	12	1220
1294	12	1240
1291	18	1260
1341	18	1280
1424	12	1300
1414	18	1320
1475	18	1340
1536	18	1360
1499	18	1380
1545	19	1400
1546	18	1420
1564	17	1440
1602	17	1460
1567	17	1480
1585	17	1500
1631	17	1520
1659	17	1540
1695	17	1560
1719	17	1580
1692	18	1600
1738	18	1620
1761	17	1640
1742	17	1660
1734	18	1680
1728	18	1700
1812	18	1720
1822	18	1740
1883	18	1760
1850	18	1780
1825	18	1800
1854	18	1820
1923	18	1840
1934	18	1860
1990	16	1880
1975	18	1900
1971	16	1920
2018	17	1940
2018	18	1960.
2045	18	1980
2065	17	2000
2077	16	2020
2090	16	2040
2116	14	2060
2127	16	2080
2133	16	2100
2136	12	2120
2165	12	2140
2220	13	2160
2197	17	2180
2209	16	2200
2265	16	2220
2205	18	2240
2223	13	2260
2216	18	2280
2203	16	2300
2240	13	2320
2295	15	2340
2457	18	2360
2437	11	2380
2406	12	2400
2423	11	2420
2432	13	2440
2433	10	2460
2457	10	2480
2497	 9	2500
2506	10	2520
2494	11	2540
2521	10	2560
2502	10	2580
2486	14	2600
2524	12	2620
2476	12	2640
2459	15	2660
2466	13	2680
2458	13	2700
2522	16	2720
2541	12	2740
2654	18	2760
2675	18	2780
2716	16	2800
2744	14	2820
2728	14	2840
2765	13	2860
2824	19	2880
2829	19	2900.
2806	11	2920
2828	12	2940
2872	 8	2960
2876	12	2980
2905	10	3000
2916	10	3020
2903	12	3040	
2876	12	3060
2913	15	3070
2946	15	3090
2952	16	3100
2987	14	3120
2954	16	3140
2969	16	3160
3020	14	3180
2946	14	3200
3039	17	3220
3038	17	3240
3055	17	3260
3111	16	3280
3054	16	3300
3044	18	3320
3069	15	3340
3133	14	3360
3195	16	3380
3215	10	3400
3216	15	3420
3180	16	3460
3318	15	3480
3335	18	3500
3299	16	3520
3303	14	3540
3301	15	3560
3341	15	3580
3340	13	3600
3344	15	3620
3417	16	3640
3447	19	3660
3391	13	3680
3451	15	3700
3478	14	3720
3546	17	3740
3503	19	3760
3528	19	3780
3465	14	3800
3479	14	3820.
3560	13	3840
3592	18	3860
3576	14	3880
3611	13	3900
3604	17	3920	
3677	11	3940
3634	15	3960
3631	16	3980
3721	16	4000
3718	18	4020
3675	15	4040
3676	18	4060
3703	18	4080
3805	13	4100
3752	18	4120
3808	14	4140
3834	14	4160
3819	16	4180
3797	13	4200
3794	16	4220
3844	16	4240
3849	16	4260
3873	13	4280
3877	16	4300
3890	13	4320
3882	16	4340
3922	12	4360
3898	 7	4380
3899	10	4400
3979	13	4420
3981	13	4440
4052	10	4460
4049	15	4480
3992	14	4500
4039	11	4520	
4085	11	4540
4088	18	4560
4164	10	4580
4092	14	4600
4175	12	4620
4133	12	4640
4225	12	4660
4144	 9	4680
4168	12	4700
4156	16	4720	
4263	13	4740
4165	13	4760.
4102	 8	4780
4098	11	4800
4176	13	4820
4289	13	4840
4296	12	4860
4406	13	4880
4422	13	4900
4414	18	4920
4402	14	4940
4364	14	4960
4406	13	4980
4477	13	5000
4437	14	5020
4442	16	5040
4513	20	5060
4517	15	5080
4539	14	5100
4486	18	5120
4531	15	5140
4543	16	5160
4527	12	5180
4467	13	5200
4491	17	5220
4489	14	5240
4524	14	5260
4536	14	5280
4596	14	5300
4636	18	5320
4743	16	5340
4702	18	5360
4678	18	5380
4680	17	5400
4682	18	5420
4664	19	5440
4733	19	5460
4781	19	5480
4826	19	5500
4800	20	5520
4739	20	5540
4759	20	5560
4815	20	5580
4878	20	5600
4871	18	5620
4881	18	5640
4973	18	5660
4986	18	5680
4955	18	5700.
4926	17	5720
5045	18	5740
5034	17	5760
5136	15	5780
5090	11	5800
5070	13	5820
5034	13	5840
5055	12	5860
5058	12	5880
5107	12	5900
5148	12	5920
5183	15	5940
5271	14	5960
5222	13	5980
5332	13	6000
5308	14	6020
5321	14	6040
5314	18	6060
5275	18	6080
5319	21	6100
5370	16	6120
5360	19	6140
5275	17	6160
5356	16	6180
5434	16	6200
5440	17	6220
5408	17	6240
5413	15	6260
5425	16	6280
5507	15	6300
5591	14	6320.
5573	16	6340
5608	16	6360
5573	16	6380
5568	16	6400
5656	16	6420
5659	16	6440
5683	17	6460
5709	17	6480
5728	17	6500
5710	18	6520
5756	17	6540
5773	16	6560
5792	16	6580
5727	19	6600
5781	17	6620
5812	16	6640
5794	16	6600
5861	18	6680
5859	18	6700
5848	18	6720
5928	19	6740
5953	18	6760
5940	14	6780
5976	18	6800
5999	19	6820
5945	18	6840
6046	15	6860
6039	10	6880
6119	12	6900
6126	12	6920
6113	12	6940
