0.875 1 0.7514
2.788 1 0.3682
0.918 1 0.1189
2.583 1 0.5661
1.184 1 0.9223
0.235 1 0.18
1.08 1 0.0383
0.509 1 0.0487
0.579 0 0.6911
1.033 0 0.8104
1.102 1 0.8738
0.733 1 0.1028
0.337 1 0.7284
1.707 1 0.3863
0.969 0 0.36
6.021 1 0.805
0.439 0 0.2733
1.553 1 0.0227
1.221 1 0.4704
2.386 1 0.1972
0.538 0 0.9119
2.004 1 0.0269
0.363 1 0.2628
2.314 1 0.986
6.113 1 0.5367
6.948 1 0.9356
0.998 1 0.3912
0.115 1 0.3816
0.647 1 0.2934
2.2 1 0.341
0.378 1 0.0776
3.485 1 0.6247
0.092 1 0.5385
3.173 1 0.9323
1.563 1 0.5265
1.198 0 0.6496
2.449 1 0.1737
0.574 1 0.9758
1.32 1 0.7288
0.379 1 0.5051
0.217 1 0.0746
0.722 0 0.112
2.012 1 0.9563
0.273 1 0.048
0.174 1 0.3573
0.805 1 0.3146
2.442 1 0.815
0.525 1 0.3213
1.171 1 0.6316
0.15 1 0.9595
1.718 1 0.2654
1.519 0 0.2972
0.84 1 0.4891
0.343 1 0.67
1.035 1 0.2431
0.572 1 0.1642
0.027 0 0.5121
1.444 1 0.9912
3.123 1 0.4387
0.08 1 0.8616
4.31 1 0.7728
2.012 1 0.8526
0.235 0 0.1187
0.468 0 0.9969
0.522 1 0.1214
3.102 1 0.8242
4.663 1 0.5174
1.132 0 0.8508
0.906 1 0.3565
0.149 1 0.1214
1.952 1 0.1276
2.258 1 0.4853
0.429 0 0.0601
0.126 0 0.1193
0.408 1 0.1418
2.268 1 0.4707
0.619 0 0.3131
2.338 1 0.8541
1.054 1 0.7098
0.128 1 0.5655
1.298 0 0.8506
1.106 0 0.478
2.446 1 0.9539
1.774 1 0.2828
1.776 1 0.9472
3.111 1 0.7796
0.121 0 0.6841
0.143 0 0.663
0.663 0 0.4221
0.647 1 0.2673
0.695 0 0.1633
3.746 1 0.5291
3.007 1 0.5252
0.257 1 0.1064
1.428 1 0.0459
0.105 1 0.5839
0.412 1 0.0069
0.019 0 0.6253
2.437 1 0.6514
1.369 1 0.9582
