Latitude Longitude
-26.4	324.0
-32.2	163.7
-73.1	 51.9
-80.2	140.5
-71.1	267.2
-58.7	 32.0
-40.8	 28.1
-14.9	266.3
-66.1	144.3
 -1.8	256.2
-52.1	 83.2
-77.3	182.1
-68.8	110.4
-68.4	142.2
-29.2	246.3
-78.5	222.6
-65.4	247.7
-49.0	 65.6
-67.0	282.6
-56.7	 56.2
-80.5	108.4
-77.7	266.0
 -6.9	 19.1
-59.4	281.7
 -5.6	107.4
-62.6	105.3
-74.7	120.2
-65.3	286.6
-71.6	106.4
-23.3	 96.5
-74.3	 90.2
-81.0	170.9
-12.7	199.4
-75.4	118.6
-85.9	 63.7
-84.8	 74.9
 -7.4	 93.8
-29.8	 72.8
-85.2	113.2
-53.1	 51.5
-38.3	146.8
-72.7	103.1
-60.2	 33.2
-63.4	154.8
-17.2	 89.9
-81.6	295.6
-40.4	 41.0
-53.6	 59.1
-56.2	 35.6
-75.1	 70.7		
